popid,abbr,country,x1990,x2000,x2010,x2015,x2019,x2020,x2021,x2022
604,PER,Peru,0.62,0.675,0.725,0.758,0.774,0.758,0.755,0.762
608,PHL,Philippines,0.598,0.635,0.673,0.696,0.714,0.705,0.692,0.71
616,POL,Poland,0.715,0.794,0.845,0.869,0.88,0.874,0.876,0.881
620,PRT,Portugal,0.703,0.793,0.831,0.85,0.864,0.861,0.865,0.874
624,GNB,Guinea-Bissau,,,0.441,0.47,0.488,0.482,0.482,0.483
626,TLS,Timor-Leste,,0.495,0.639,0.621,0.627,0.633,0.574,0.566
630,PRI,Puerto Rico,,,,,,,0.88,0.88
634,QAT,Qatar,0.764,0.793,0.829,0.852,0.869,0.863,0.864,0.875
638,REU,"France, La R\xa8\xa6union",,,,,0.846,0.84,0.844,0.844
642,ROU,Romania,0.709,0.721,0.813,0.813,0.834,0.828,0.825,0.827
643,RUS,Russian Federation,0.741,0.733,0.797,0.823,0.839,0.826,0.818,0.821
646,RWA,Rwanda,0.32,0.328,0.485,0.509,0.531,0.535,0.539,0.548
659,KNA,Saint Kitts and Nevis,,,0.79,0.829,0.838,0.832,0.832,0.838
662,LCA,Saint Lucia,0.666,0.692,0.731,0.736,0.733,0.724,0.717,0.725
670,VCT,Saint Vincent and the Grenadines,,0.691,0.756,0.777,0.789,0.785,0.773,0.772
674,SMR,San Marino,0.841,0.875,0.901,0.872,0.861,0.844,0.853,0.867
678,STP,Sao Tome and Principe,0.48,0.498,0.553,0.595,0.608,0.609,0.609,0.613
682,SAU,Saudi Arabia,0.699,0.746,0.805,0.842,0.862,0.861,0.867,0.875
686,SEN,Senegal,0.371,0.388,0.47,0.501,0.514,0.514,0.512,0.517
688,SRB,Serbia,,0.689,0.768,0.794,0.812,0.806,0.804,0.805
690,SYC,Seychelles,,0.755,0.774,0.797,0.808,0.799,0.795,0.802
694,SLE,Sierra Leone,0.314,0.319,0.416,0.438,0.457,0.453,0.456,0.458
702,SGP,Singapore,0.78,0.863,0.921,0.935,0.945,0.942,0.942,0.949
703,SVK,Slovakia,,0.761,0.841,0.852,0.863,0.86,0.852,0.855
704,VNM,Viet Nam,0.492,0.599,0.676,0.697,0.717,0.726,0.718,0.726
705,SVN,Slovenia,,0.823,0.89,0.903,0.918,0.91,0.916,0.926
706,SOM,Somalia,,,,,,,,0.38
710,ZAF,South Africa,0.635,0.633,0.675,0.721,0.741,0.722,0.721,0.717
716,ZWE,Zimbabwe,0.479,0.426,0.481,0.544,0.56,0.554,0.549,0.55
724,ESP,Spain,0.762,0.828,0.868,0.889,0.904,0.894,0.904,0.911
728,SSD,South Sudan,,,0.406,0.381,0.391,0.386,0.381,0.381
729,SDN,Sudan,0.322,0.42,0.489,0.514,0.521,0.518,0.516,0.516
740,SUR,Suriname,,,0.696,0.707,0.71,0.702,0.689,0.69
748,SWZ,Eswatini,0.546,0.465,0.498,0.577,0.623,0.622,0.612,0.61
752,SWE,Sweden,0.808,0.903,0.91,0.937,0.947,0.944,0.949,0.952
756,CHE,Switzerland,0.85,0.885,0.94,0.952,0.96,0.957,0.965,0.967
760,SYR,Syrian Arab Republic,0.563,0.587,0.661,0.552,0.564,0.561,0.558,0.557
762,TJK,Tajikistan,0.616,0.548,0.631,0.651,0.668,0.656,0.677,0.679
764,THA,Thailand,0.581,0.663,0.743,0.789,0.801,0.8,0.797,0.803
768,TGO,Togo,0.399,0.436,0.469,0.51,0.536,0.54,0.545,0.547
